 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 160005 Serra do Navio
Período:2013
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";268;268;536
"De 5 a 9 anos";293;263;556
"De 10 a 14 anos";328;263;591
"De 15 a 19 anos";264;232;496
"De 20 a 24 anos";226;203;429
"De 25 a 29 anos";206;204;410
"De 30 a 34 anos";201;187;388
"De 35 a 39 anos";177;159;336
"De 40 a 44 anos";146;130;276
"De 45 a 49 anos";124;95;219
"De 50 a 54 anos";103;89;192
"De 55 a 59 anos";84;69;153
"De 60 a 64 anos";56;41;97
"De 65 a 69 anos";39;26;65
"De 70 a 74 anos";25;21;46
"De 75 a 79 anos";7;12;19
"De 80 anos ou mais";7;11;18
"Total";2554;2273;4827
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

